densities,yields
0.01,0.00999997616713075
0.02,0.01999997504142299
0.03,0.029999966273800367
0.04,0.03999994502178369
0.05,0.049999929750303436
0.06,0.05999990713985865
0.07,0.06999977844899315
0.08,0.07999961137914827
0.09,0.08999959752641727
0.1,0.09999947005797624
0.11,0.10999940527352083
0.12,0.11999938266307605
0.13,0.12999936327461753
0.14,0.13999890913169416
0.15,0.14999760790112307
0.16,0.15999713240899052
0.17,0.1699965267167112
0.18,0.1799952254861401
0.19,0.18999521220980398
0.2,0.19999397772134786
0.21,0.20999355179930182
0.22,0.2199930731033265
0.23,0.22999221398344633
0.24,0.23999037321067201
0.25,0.24998567280713802
0.26,0.2599828059542084
0.27,0.2699807908178847
0.28,0.2799744962164151
0.29,0.2899646549004702
0.3,0.29996341867532217
0.31,0.30995380380963483
0.32,0.3199525675844868
0.33,0.32994227813368976
0.34,0.33994104190854174
0.35,0.3499340156253581
0.36,0.3599188620547646
0.37,0.3699092471890773
0.38,0.3798813802574297
0.39,0.3898791577098187
0.4,0.3998695428441314
0.41,0.409859927978444
0.42,0.41983461759996366
0.43,0.4298250027342763
0.44,0.4397539579523291
0.45,0.44972863170158
0.46,0.45970249578689915
0.47,0.469696316893698
0.48,0.47967767761987823
0.49,0.4896496347506461
0.5,0.49964628347500206
0.51,0.5096044588124503
0.52,0.5195525412118396
0.53,0.529508422120799
0.54,0.5393884939973348
0.55,0.5493174492153875
0.56,0.5592382884693143
0.57,0.5692349371936701
0.58,0.579163892411723
0.59,0.5889634020568029
0.6,0.5987710816782147
0.61,0.6086358163610741
0.62,0.6181108624817296
0.63,0.627804036243864
0.64,0.6374780378051302
0.65,0.6469500897520679
0.66,0.65652304370993
0.67,0.6659980898305855
0.68,0.6754731359512409
0.69,0.6849014455647421
0.7,0.6937170692139895
0.71,0.7001908457565206
0.72,0.7101545316875255
0.73,0.7194792592383417
0.74,0.7270704384863742
0.75,0.7347867030833574
0.76,0.7447503890143623
0.77,0.7478646067300431
0.78,0.7471620616971434
0.79,0.7569095307808772
0.8,0.766656999864611
0.81,0.7764044689483447
0.82,0.774921760581692
0.83,0.7846692296654258
0.84,0.7944166987491595
0.85,0.8041641678328934
0.86,0.8139116369166272
0.87,0.8236591060003609
0.88,0.8271112523222723
0.89,0.8217239373987568
0.9,0.7882737678607232
0.91,0.7974769428306155
0.92,0.7487387614203869
0.93,0.7490370876803056
0.94,1.6653345369377348e-15
0.95,1.6653345369377348e-15
0.96,1.3322676295501878e-15
0.97,1.7763568394002505e-15
0.98,1.9984014443252818e-15
0.99,1.887379141862766e-15
1.0,1.5543122344752192e-15
