densities,yields
0.01,0.009999999608264743
0.02,0.019999997417710157
0.03,0.02999999477745073
0.04,0.03999998645953295
0.05,0.04999997769191033
0.06,0.0599999689242877
0.07,0.06999994631384293
0.08,0.07999991615820001
0.09,0.08999985354000112
0.1,0.09999979763631117
0.11,0.10999973285185577
0.12,0.11999966806740035
0.13,0.12999960328294496
0.14,0.1399995418213838
0.15,0.14999937475153893
0.16,0.15999919864913104
0.17,0.16999887021911012
0.18,0.17999852040106887
0.19,0.1899982683531636
0.2,0.19999778965718829
0.21,0.2099970252366504
0.22,0.21999613247129257
0.23,0.2299948489822321
0.24,0.23999356549317158
0.25,0.24999226426260052
0.26,0.25999096303202945
0.27,0.2699896618014584
0.28,0.2799861729164682
0.29,0.2899841577801444
0.3,0.29998214264382067
0.31,0.3099795578186896
0.32,0.3199760207072736
0.33,0.3299724835958576
0.34,0.33996884964259527
0.35,0.3499685163818236
0.36,0.35996727651805116
0.37,0.3699595556537994
0.38,0.37994998058596213
0.39,0.3899403657202748
0.4,0.3999307508545875
0.41,0.4099211359889002
0.42,0.41991152112321284
0.43,0.42990123167241584
0.44,0.43988500116585877
0.45,0.44986905160811863
0.46,0.45984291569343777
0.47,0.4698167797787568
0.48,0.4797729115311098
0.49,0.48972879244006906
0.5,0.4996802564872599
0.51,0.5096283388866492
0.52,0.5195779638350183
0.53,0.5295172109585853
0.54,0.5394461661766381
0.55,0.5493751213946908
0.56,0.5592944303293811
0.57,0.5691892915218228
0.58,0.579182948572853
0.59,0.5891766056238833
0.6,0.5991032769017676
0.61,0.6089833487783034
0.62,0.6187910283997152
0.63,0.6285979086599411
0.64,0.6382719102212074
0.65,0.6478448641790695
0.66,0.657319910299725
0.67,0.6667949564203804
0.68,0.6762511331143797
0.69,0.6856455174021695
0.7,0.6956214644629483
0.71,0.7050168701216385
0.72,0.7143580781638128
0.73,0.723693856152597
0.74,0.7328077005204809
0.75,0.740628732194965
0.76,0.7482316877544924
0.77,0.7558499138412296
0.78,0.763441093089262
0.79,0.7695621794254339
0.8,0.7726258667532555
0.81,0.7755015142557435
0.82,0.7774875289711595
0.83,0.7783849554588926
0.84,0.7783687936179111
0.85,0.7671335890587593
0.86,0.7303510385575434
0.87,0.7393089921614215
0.88,0.7482669457652997
0.89,0.7572248993691779
0.9,0.766182852973056
0.91,0.7751408065769342
0.92,0.7840987601808123
0.93,0.7388261152671349
0.94,1.6653345369377348e-15
0.95,1.6653345369377348e-15
0.96,1.3322676295501878e-15
0.97,1.7763568394002505e-15
0.98,1.9984014443252818e-15
0.99,1.887379141862766e-15
1.0,1.5543122344752192e-15
